Rank,Best Rank,Country,Name,#ERROR!,Pts. +/-,Points
1 CH,1,SRB,Novak Djokovic,-,400,11260
2,1,ESP,Rafael Nadal,-,-,9850
3 CH,3,AUT,Dominic Thiem,-,-,CH 9125
4,1,SUI,Roger Federer,-,-,6630
5,4,RUS,Daniil Medvedev,-,-,5890
6,5,GRE,Stefanos Tsitsipas,-,-,5175
7,3,GER,Alexander Zverev,-,-,4650
8 CH,8,ITA,Matteo Berrettini,-,90,CH 3030
9,6,FRA,Gael Monfils,-,-,2860
10 CH,10,CAN,Denis Shapovalov,4,315,CH 2660
11,9,ESP,Roberto Bautista Agut,-1,-,2620
12,7,BEL,David Goffin,-1,-,2555
13,11,ARG,Diego Sebastian Schwartzman,2,240,CH 2505
14,12,RUS,Andrey Rublev,-2,-,CH 2414
15,9,ITA,Fabio Fognini,-2,-,2400
16,8,RUS,Karen Khachanov,-,-,2200
17,3,SUI,Stan Wawrinka,-,-,2185
18,10,ESP,Pablo Carreno Busta,-,-,2130
19,3,BUL,Grigor Dimitrov,3,170,2055
20,3,CAN,Milos Raonic,-1,45,2040
21,17,CAN,Felix Auger Aliassime,-1,-,CH 1976
22,18,CHI,Christian Garin,-1,10,1910
23,8,USA,John Isner,-,-,1805
24,23,SRB,Dusan Lajovic,1,45,CH 1740
25,18,FRA,Benoit Paire,-1,-,1738
26,12,CRO,Borna Coric,-,-,1670
27,18,AUS,Alex De Minaur,-,-,1665
28,26,SRB,Filip Krajinovic,1,45,CH 1628
29,24,USA,Taylor Harry Fritz,-1,-,CH 1625
30 CH,30,NOR,Casper Ruud,4,245,CH 1604
31,28,POL,Hubert Hurkacz,-,70,CH 1468
32,29,GER,Jan Lennard Struff,-2,-,CH 1450
33,16,GEO,Nikoloz Basilashvili,-1,-,1395
34,28,GBR,Daniel Evans,-1,-,CH 1384
35,4,JPN,Kei Nishikori,-,-,1345
36,31,USA,Reilly Opelka,-,-,1312
37,20,ARG,Guido Pella,-,-,1310
38,22,FRA,Adrian Mannarino,-,-,1271
39,3,CRO,Marin Cilic,1,45,1270
40,39,SRB,Miomir Kecmanovic,-1,-,CH 1258
41 CH,41,FRA,Ugo Humbert,1,70,CH 1216
42,13,AUS,Nick Kyrgios,-1,-,1170
43,33,AUS,John Millman,-,35,1166
44,17,ESP,Albert Ramos,-,-,1130
45,14,GBR,Kyle Edmund,-,-,1085
46 CH,46,ITA,Lorenzo Sonego,1,45,CH 1075
47,11,USA,Sam Querrey,-1,10,1055
48,41,USA,Tennys Sandgren,1,35,1048
49,7,FRA,Richard Gasquet,-1,10,1030
50,32,ESP,Pablo Andujar,1,17,1024
51,48,JPN,Yoshihito Nishioka,-1,10,CH 1017
52,5,FRA,Jo Wilfried Tsonga,-,-,1005
53,6,FRA,Gilles Simon,1,35,1005
54,43,AUS,Jordan Thompson,-1,-,984
55,43,SLO,Aljaz Bedene,-,-,965
56,47,KAZ,Alexander Bublik,-,-,965
57,12,ESP,Feliciano Lopez,-,-,953
58,7,ESP,Fernando Verdasco,-,-,945
59,57,USA,Tommy Paul,-,-,CH 894
60,10,FRA,Lucas Pouille,-,-,880
61,31,HUN,Marton Fucsovics,-,10,877
62,21,USA,Steve Johnson,2,10,870
63,19,URU,Pablo Cuevas,-1,-,862
64,25,FRA,Jeremy Chardy,-1,-,860
65,50,LTU,Ricardas Berankis,-,-,854
66 CH,66,GER,Dominik Koepfer,31,197,CH 849
67,29,USA,Frances Tiafoe,-1,10,845
68,50,ARG,Juan Ignacio Londero,-1,-,832
69 CH,69,ESP,Alejandro Davidovich Fokina,1,28,CH 829
70,69,FRA,Corentin Moutet,-1,16,CH 818
71,41,GBR,Cameron Norrie,-3,-,807
72,27,SRB,Laslo Djere,-1,-,797
73 CH,73,ITA,Stefano Travaglia,11,75,CH 794
74,68,ITA,Jannik Sinner,7,45,788
75,35,CZE,Jiri Vesely,-3,-,785
76,25,CAN,Vasek Pospisil,-3,-,777
77,28,POR,Joao Sousa,-3,-,776
78,36,FRA,Pierre Hugues Herbert,-3,-,775
79,39,MDA,Radu Albot,-3,-,772
80,67,SWE,Mikael Ymer,-3,4,763
81,33,ARG,Federico Delbonis,-3,-,758
82,69,KOR,Soon Woo Kwon,-3,-,CH 752
83,65,BLR,Egor Gerasimov,-3,-,750
84 CH,84,ITA,Salvatore Caruso,3,33,CH 736
85,16,GER,Philipp Kohlschreiber,-3,-,729
86,76,HUN,Attila Balazs,-3,-,CH 722
87,39,KAZ,Mikhail Kukushkin,-1,10,716
88,77,ITA,Gianluca Mager,-3,-,713
89,74,BRA,Thiago Monteiro,-1,-,CH 700
90,71,AUS,James Duckworth,-1,-,699
91,85,AUT,Dennis Novak,-1,-,CH 698
92,91,FIN,Emil Ruusuvuori,-1,-,CH 686
93,36,JPN,Yuichi Sugita,1,2,686
94,78,JPN,Yasutaka Uchiyama,-2,-,CH 685
95,93,USA,Marcos Giron,-2,-,CH 684
96,72,RSA,Lloyd George Muirhead Harris,-1,-,676
97,18,ITA,Andreas Seppi,-1,-,671
98 CH,98,ARG,Federico Coria,6,63,CH 670
99,83,POL,Kamil Majchrzak,-1,-,650
100,72,ESP,Roberto Carballes Baena,-1,-,649